category_code,theme,problem,messages,distinct_customers,pct_of_paid_orders
M1,Montaż / wieszaki,Wieszaki spadły / nie trzymają,11,8,4.9%
M2,Montaż / wieszaki,Wieszaki brakujące w paczce,2,2,1.2%
M3,Montaż / wieszaki,Dozamówienie wieszaków/szablonu,15,9,5.5%
M4,Montaż / wieszaki,Instrukcja montażu / szablon,3,3,1.8%
Q1,Reklamacje / jakość,Uszkodzenie w transporcie,1,1,0.6%
Q2,Reklamacje / jakość,Defekt druku / kolor / piksele,5,4,2.5%
Q3,Reklamacje / jakość,Złe ułożenie / kadr / zła ramka,3,1,0.6%
S1,Wysyłka / status,Link śledzenia nie działa,3,3,1.8%
S2,Wysyłka / status,Paczka zaginiona / opóźniona,12,4,2.5%
S3,Wysyłka / status,Status / kiedy / gdzie,9,9,5.5%
E1,Edycja zamówienia,Filtr nie zapisany,2,2,1.2%
E2,Edycja zamówienia,Podmiana / dodanie zdjęcia,7,4,2.5%
E3,Edycja zamówienia,Inna edycja (układ/rozmiar),4,4,2.5%
R1,Zwroty / płatności,Anulacja zamówienia,2,2,1.2%
R2,Zwroty / płatności,Zwrot towaru,5,4,2.5%
R3,Zwroty / płatności,Nadpłata / błąd płatności,6,3,1.8%
V1,Vouchery / rabaty,Voucher: przedłużenie,2,2,1.2%
V2,Vouchery / rabaty,Voucher: brak/wadliwy kod,2,1,0.6%
V3,Vouchery / rabaty,Prośba o rabat,2,2,1.2%
P1,Przedsprzedaż / inne,Pytanie przedsprzedażowe/produktowe,10,8,4.9%
P2,Przedsprzedaż / inne,Inne / podziękowanie / niejasne,13,10,6.1%
